hotel_name,image_url
Can Apart ( Akyaka ),https://images.unsplash.com/photo-1609361528183-1acc0d399845?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxDYW4lMjBBcGFydCUyMCUyOCUyMEFreWFrYSUyMCUyOXxlbnwwfHx8fDE3NDc4NjM0MzZ8MA&ixlib=rb-4.1.0&q=80&w=1080
Carissa Otel,https://images.unsplash.com/photo-1729474970592-8af0ec917d9f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxDYXJpc3NhJTIwT3RlbHxlbnwwfHx8fDE3NDc4NjM0Mzd8MA&ixlib=rb-4.1.0&q=80&w=1080
Ceylan Apart,https://images.unsplash.com/photo-1616424525183-4042d746ac85?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxDZXlsYW4lMjBBcGFydHxlbnwwfHx8fDE3NDc4NjM0Mzh8MA&ixlib=rb-4.1.0&q=80&w=1080
Cumba Apart,https://images.unsplash.com/photo-1616424525183-4042d746ac85?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxDdW1iYSUyMEFwYXJ0fGVufDB8fHx8MTc0Nzg2MzQzOXww&ixlib=rb-4.1.0&q=80&w=1080
Dedeoğlu Apart,https://images.unsplash.com/photo-1616424525183-4042d746ac85?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxEZWRlbyVDNCU5Rmx1JTIwQXBhcnR8ZW58MHx8fHwxNzQ3ODYzNDQwfDA&ixlib=rb-4.1.0&q=80&w=1080
Deger Apart Akyaka,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxEZWdlciUyMEFwYXJ0JTIwQWt5YWthfGVufDB8fHx8MTc0Nzg2MzQ0MXww&ixlib=rb-4.1.0&q=80&w=1080
Demircioğlu Park Hotel,https://images.unsplash.com/photo-1445991842772-097fea258e7b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxEZW1pcmNpbyVDNCU5Rmx1JTIwUGFyayUyMEhvdGVsfGVufDB8fHx8MTc0Nzg2MzQ0Mnww&ixlib=rb-4.1.0&q=80&w=1080
Dinlen Apart Otel,https://images.unsplash.com/photo-1616424525183-4042d746ac85?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxEaW5sZW4lMjBBcGFydCUyME90ZWx8ZW58MHx8fHwxNzQ3ODYzNDQzfDA&ixlib=rb-4.1.0&q=80&w=1080
Egehan Otel,https://images.unsplash.com/photo-1729474970592-8af0ec917d9f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxFZ2VoYW4lMjBPdGVsfGVufDB8fHx8MTc0Nzg2MzQ0NXww&ixlib=rb-4.1.0&q=80&w=1080
Elçin Kız Öğrenci Apartı,https://images.unsplash.com/photo-1576248003442-5ddaea8ab9c6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxFbCVDMyVBN2luJTIwSyVDNCVCMXolMjAlQzMlOTYlQzQlOUZyZW5jaSUyMEFwYXJ0JUM0JUIxfGVufDB8fHx8MTc0Nzg2MzQ0Nnww&ixlib=rb-4.1.0&q=80&w=1080
