hotel_name,breakfast_quality,cleanliness,pool_beach,room_facilities,overall_rating,subaspect_pca1
YAKABÜK TİNY HOUSE PANSİYON,1.0,1.0,1.0,1.0,4.9,-0.4476124587445622
Yakabük Otel & Restaurant,0.9,0.9,0.9,0.8,4.9,-0.19713940715684097
Yatu Apart Otel,0.75,1.0,0.625,0.5,4.4,0.12213377731914443
Yelken Hotel Akyaka,0.8,0.8,0.6,0.8,4.5,0.056024714371204785
Yener Apart,0.8,0.8,0.8,0.8,4.1,-0.047754624327738734
Yeni sıtar apart,0.4,0.4,0.4,0.3,3.5,0.8025051788852184
Yenice Vadi,0.7,0.8,0.8,0.7,4.4,0.05176523169422689
Yücelen Otel Akyaka,0.9,0.9,0.9,0.9,4.3,-0.24768354153615055
belgin pansiyon,0.7,0.8,0.7,0.9,4.3,0.0025666322850794654
portofino apart,0.4,0.4,0.4,0.4,4.3,0.7519610445059088
villa vali Akyaka Apart,0.8,0.9,0.7,0.8,4.6,-0.04438434681524152
ÇALCALAR OTEL,1.0,1.0,1.0,1.0,4.7,-0.4476124587445622
İNCİLİ PANSİYON-OTEL-APART,1.0,1.0,1.0,1.0,4.7,-0.4476124587445622
İnci Apart,0.3,0.3,0.3,0.2,4.4,1.00243409609363
İskelem Butik Otel,1.0,1.0,1.0,1.0,4.6,-0.4476124587445623
İzethan Hotel,0.8,0.9,0.8,0.6,3.7,0.004814252593905907
