hotel_name,aspect,pos_ratio
Sezgin Apart,breakfast_quality,0.5
Sezgin Apart,cleanliness,0.5
Sezgin Apart,pool_beach,0.5
Sezgin Apart,room_facilities,0.5
Shimal Residences & Hotel,breakfast_quality,0.8
Shimal Residences & Hotel,cleanliness,0.8
Shimal Residences & Hotel,pool_beach,0.8
Shimal Residences & Hotel,room_facilities,0.8
Su Apart Otel Akyaka,breakfast_quality,0.6
Su Apart Otel Akyaka,cleanliness,0.6
Su Apart Otel Akyaka,pool_beach,0.5
Su Apart Otel Akyaka,room_facilities,0.6
Summer Otel,breakfast_quality,0.6
Summer Otel,cleanliness,0.7
Summer Otel,pool_beach,0.7
Summer Otel,room_facilities,0.7
TN&CO Exclusive CIP Suites/Primeclass Rooms,breakfast_quality,0.8
TN&CO Exclusive CIP Suites/Primeclass Rooms,cleanliness,0.8
TN&CO Exclusive CIP Suites/Primeclass Rooms,pool_beach,0.8
TN&CO Exclusive CIP Suites/Primeclass Rooms,room_facilities,0.8
Teras Tepe Apart,breakfast_quality,0.4
Teras Tepe Apart,cleanliness,0.4
Teras Tepe Apart,pool_beach,0.4
Teras Tepe Apart,room_facilities,0.4
Totelya Hotel,breakfast_quality,1.0
Totelya Hotel,cleanliness,1.0
Totelya Hotel,pool_beach,0.9
Totelya Hotel,room_facilities,1.0
Tuna Otel,breakfast_quality,0.8
Tuna Otel,cleanliness,1.0
Tuna Otel,pool_beach,1.0
Tuna Otel,room_facilities,0.9
Tuna Otel Rezidans,breakfast_quality,0.7
Tuna Otel Rezidans,cleanliness,0.7
Tuna Otel Rezidans,pool_beach,0.7
Tuna Otel Rezidans,room_facilities,0.7
Tuncer Otel,breakfast_quality,1.0
Tuncer Otel,cleanliness,1.0
Tuncer Otel,pool_beach,1.0
Tuncer Otel,room_facilities,1.0
Ugur Apart Hotel,breakfast_quality,0.6
Ugur Apart Hotel,cleanliness,0.8
Ugur Apart Hotel,pool_beach,0.7
Ugur Apart Hotel,room_facilities,0.6
Uğurevler Apart,breakfast_quality,0.8
Uğurevler Apart,cleanliness,0.7
Uğurevler Apart,pool_beach,0.7
Uğurevler Apart,room_facilities,0.7
Verde Suites Akyaka,breakfast_quality,0.8
Verde Suites Akyaka,cleanliness,0.8
Verde Suites Akyaka,pool_beach,0.8
Verde Suites Akyaka,room_facilities,0.8
XOX Apart Hotel,breakfast_quality,1.0
XOX Apart Hotel,cleanliness,1.0
XOX Apart Hotel,pool_beach,1.0
XOX Apart Hotel,room_facilities,1.0
YAKABÜK TİNY HOUSE PANSİYON,breakfast_quality,1.0
YAKABÜK TİNY HOUSE PANSİYON,cleanliness,1.0
YAKABÜK TİNY HOUSE PANSİYON,pool_beach,1.0
YAKABÜK TİNY HOUSE PANSİYON,room_facilities,1.0
Yakabük Otel & Restaurant,breakfast_quality,0.9
Yakabük Otel & Restaurant,cleanliness,0.9
Yakabük Otel & Restaurant,pool_beach,0.9
Yakabük Otel & Restaurant,room_facilities,0.8
Yatu Apart Otel,breakfast_quality,0.75
Yatu Apart Otel,cleanliness,1.0
Yatu Apart Otel,pool_beach,0.625
Yatu Apart Otel,room_facilities,0.5
Yelken Hotel Akyaka,breakfast_quality,0.8
Yelken Hotel Akyaka,cleanliness,0.8
Yelken Hotel Akyaka,pool_beach,0.6
Yelken Hotel Akyaka,room_facilities,0.8
Yener Apart,breakfast_quality,0.8
Yener Apart,cleanliness,0.8
Yener Apart,pool_beach,0.8
Yener Apart,room_facilities,0.8
Yeni sıtar apart,breakfast_quality,0.4
Yeni sıtar apart,cleanliness,0.4
Yeni sıtar apart,pool_beach,0.4
Yeni sıtar apart,room_facilities,0.3
Yenice Vadi,breakfast_quality,0.7
Yenice Vadi,cleanliness,0.8
Yenice Vadi,pool_beach,0.8
Yenice Vadi,room_facilities,0.7
Yücelen Otel Akyaka,breakfast_quality,0.9
Yücelen Otel Akyaka,cleanliness,0.9
Yücelen Otel Akyaka,pool_beach,0.9
Yücelen Otel Akyaka,room_facilities,0.9
belgin pansiyon,breakfast_quality,0.7
belgin pansiyon,cleanliness,0.8
belgin pansiyon,pool_beach,0.7
belgin pansiyon,room_facilities,0.9
portofino apart,breakfast_quality,0.4
portofino apart,cleanliness,0.4
portofino apart,pool_beach,0.4
portofino apart,room_facilities,0.4
villa vali Akyaka Apart,breakfast_quality,0.8
villa vali Akyaka Apart,cleanliness,0.9
villa vali Akyaka Apart,pool_beach,0.7
villa vali Akyaka Apart,room_facilities,0.8
ÇALCALAR OTEL,breakfast_quality,1.0
ÇALCALAR OTEL,cleanliness,1.0
ÇALCALAR OTEL,pool_beach,1.0
ÇALCALAR OTEL,room_facilities,1.0
İNCİLİ PANSİYON-OTEL-APART,breakfast_quality,1.0
İNCİLİ PANSİYON-OTEL-APART,cleanliness,1.0
İNCİLİ PANSİYON-OTEL-APART,pool_beach,1.0
İNCİLİ PANSİYON-OTEL-APART,room_facilities,1.0
İnci Apart,breakfast_quality,0.3
İnci Apart,cleanliness,0.3
İnci Apart,pool_beach,0.3
İnci Apart,room_facilities,0.2
İskelem Butik Otel,breakfast_quality,1.0
İskelem Butik Otel,cleanliness,1.0
İskelem Butik Otel,pool_beach,1.0
İskelem Butik Otel,room_facilities,1.0
İzethan Hotel,breakfast_quality,0.8
İzethan Hotel,cleanliness,0.9
İzethan Hotel,pool_beach,0.8
İzethan Hotel,room_facilities,0.6
